Time,Humidity,Temperature
2021-08-15 14:27:58.125334,57,23
2021-08-15 14:28:03.855322,56,26
2021-08-15 14:28:09.698255,68,37
2021-08-15 14:28:15.479135,57,21
2021-08-15 14:28:21.092845,53,17
2021-08-15 14:28:26.705310,58,14
2021-08-15 14:28:32.310552,84,34
2021-08-15 14:28:37.993032,73,18
2021-08-15 14:28:43.706552,60,17
2021-08-15 14:28:49.259123,61,38
2021-08-15 14:28:54.821357,73,10
2021-08-15 14:29:00.412309,87,35
2021-08-15 14:29:06.003665,75,23
2021-08-15 14:29:11.614589,58,10
2021-08-15 14:29:17.293442,81,11
2021-08-15 14:29:22.872121,55,28
2021-08-15 14:29:28.484684,68,13
2021-08-15 14:29:34.060156,99,36
2021-08-15 14:29:39.669041,76,22
2021-08-15 14:29:45.403856,58,23
