Time,Humidity,Temperature
2021-08-15 14:09:05.389941,72,19
2021-08-15 14:09:11.217929,78,21
2021-08-15 14:09:16.953004,77,28
2021-08-15 14:09:22.665056,99,35
2021-08-15 14:09:28.308689,84,13
2021-08-15 14:09:33.920384,89,28
2021-08-15 14:09:39.519173,61,38
2021-08-15 14:09:45.103504,64,28
2021-08-15 14:09:50.695661,91,19
2021-08-15 14:09:56.275439,76,37
2021-08-15 14:10:01.964605,65,25
2021-08-15 14:10:07.665556,83,29
2021-08-15 14:10:13.279226,66,18
2021-08-15 14:10:18.907442,87,16
2021-08-15 14:10:24.558185,69,37
2021-08-15 14:10:30.202337,65,38
2021-08-15 14:10:35.883068,65,33
2021-08-15 14:10:41.501464,90,12
2021-08-15 14:10:47.219821,85,12
