Time,Humidity,Temperature
2022-02-04 20:55:23.853027,65,33
2022-02-04 20:55:29.493813,75,29
2022-02-04 20:55:35.077749,94,23
2022-02-04 20:55:40.676899,95,16
2022-02-04 20:55:46.289006,70,33
2022-02-04 20:55:51.928200,76,37
2022-02-04 20:55:57.543635,79,19
2022-02-04 20:56:03.157438,77,34
2022-02-04 20:56:09.139312,88,28
2022-02-04 20:56:14.736167,59,26
2022-02-04 20:56:20.348723,67,32
2022-02-04 20:56:25.950584,69,16
2022-02-04 20:56:31.542426,70,34
2022-02-04 20:56:37.123147,89,27
2022-02-04 20:56:42.750004,91,10
2022-02-04 20:56:48.357632,81,13
2022-02-04 20:56:53.991586,52,36
2022-02-04 20:56:59.663683,76,28
2022-02-04 20:57:05.323613,90,18
2022-02-04 20:57:10.934133,84,26
2022-02-04 20:57:16.584098,75,36
2022-02-04 20:57:22.191234,98,19
2022-02-04 20:57:27.861494,78,28
2022-02-04 20:57:33.522211,96,35
2022-02-04 20:57:39.528822,79,34
2022-02-04 20:57:45.245410,54,31
2022-02-04 20:57:50.856494,76,26
